Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egz.   
Vardas2925          Pavarde2925         10     4      7      2      4      5      
Vardas2926          Pavarde2926         4      10     9      8      7      1      
Vardas2927          Pavarde2927         4      8      8      8      7      2      
Vardas2928          Pavarde2928         2      2      2      4      2      5      
Vardas2929          Pavarde2929         4      6      3      1      4      3      
Vardas2930          Pavarde2930         7      7      6      8      10     5      
Vardas2931          Pavarde2931         1      4      1      4      1      6      
Vardas2932          Pavarde2932         5      2      7      7      8      3      
Vardas2933          Pavarde2933         1      5      2      5      7      3      
Vardas2934          Pavarde2934         4      5      2      7      8      6      
Vardas2935          Pavarde2935         8      3      7      7      9      3      
Vardas2936          Pavarde2936         6      2      10     4      10     9      
Vardas2937          Pavarde2937         5      5      4      7      10     7      
Vardas2938          Pavarde2938         3      2      5      7      10     7      
Vardas2939          Pavarde2939         7      1      5      8      1      7      
Vardas2940          Pavarde2940         5      7      9      6      6      5      
Vardas2941          Pavarde2941         10     1      2      10     9      10     
Vardas2942          Pavarde2942         6      3      7      2      3      5      
Vardas2943          Pavarde2943         5      2      2      1      8      4      
Vardas2944          Pavarde2944         4      2      6      10     3      3      
Vardas2945          Pavarde2945         6      3      5      3      9      5      
Vardas2946          Pavarde2946         3      9      9      7      3      9      
Vardas2947          Pavarde2947         5      6      2      2      6      3      
Vardas2948          Pavarde2948         3      8      1      2      3      6      
Vardas2949          Pavarde2949         8      8      8      6      10     1      
Vardas2950          Pavarde2950         3      8      3      6      10     2      
Vardas2951          Pavarde2951         1      4      2      1      2      10     
Vardas2952          Pavarde2952         4      8      9      1      2      10     
Vardas2953          Pavarde2953         5      9      4      9      5      5      
Vardas2954          Pavarde2954         1      10     9      6      1      4      
Vardas2955          Pavarde2955         4      8      6      9      3      1      
Vardas2956          Pavarde2956         3      5      5      3      7      10     
Vardas2957          Pavarde2957         6      9      4      10     3      2      
Vardas2958          Pavarde2958         6      4      2      7      7      4      
Vardas2959          Pavarde2959         9      7      10     6      2      2      
Vardas2960          Pavarde2960         4      6      3      4      4      10     
Vardas2961          Pavarde2961         4      4      4      2      2      4      
Vardas2962          Pavarde2962         3      1      8      9      3      2      
Vardas2963          Pavarde2963         6      7      6      6      3      10     
Vardas2964          Pavarde2964         9      8      9      2      2      9      
Vardas2965          Pavarde2965         10     7      6      5      6      4      
Vardas2966          Pavarde2966         6      2      2      1      5      6      
Vardas2967          Pavarde2967         2      9      3      9      2      5      
Vardas2968          Pavarde2968         2      5      3      10     5      6      
Vardas2969          Pavarde2969         8      7      6      4      10     10     
Vardas2970          Pavarde2970         9      5      4      6      1      6      
Vardas2971          Pavarde2971         6      4      3      3      6      4      
Vardas2972          Pavarde2972         2      1      4      7      9      4      
Vardas2973          Pavarde2973         8      9      5      4      5      7      
Vardas2974          Pavarde2974         2      1      3      5      4      10     
Vardas2975          Pavarde2975         9      7      1      3      6      1      
Vardas2976          Pavarde2976         1      3      7      6      7      10     
Vardas2977          Pavarde2977         4      8      6      10     7      5      
Vardas2978          Pavarde2978         10     10     10     5      6      8      
Vardas2979          Pavarde2979         2      4      2      6      7      2      
Vardas2980          Pavarde2980         9      2      5      10     2      10     
Vardas2981          Pavarde2981         7      8      4      5      2      4      
Vardas2982          Pavarde2982         1      4      2      3      9      5      
Vardas2983          Pavarde2983         2      3      2      10     10     10     
Vardas2984          Pavarde2984         9      7      3      9      9      3      
Vardas2985          Pavarde2985         1      1      10     10     3      5      
Vardas2986          Pavarde2986         6      1      9      9      10     2      
Vardas2987          Pavarde2987         3      7      2      6      7      3      
Vardas2988          Pavarde2988         9      2      4      10     5      4      
Vardas2989          Pavarde2989         7      6      8      5      1      4      
Vardas2990          Pavarde2990         4      3      5      8      4      2      
Vardas2991          Pavarde2991         6      7      1      6      5      6      
Vardas2992          Pavarde2992         4      2      4      3      3      4      
Vardas2993          Pavarde2993         8      9      7      10     6      9      
Vardas2994          Pavarde2994         5      5      4      9      6      4      
Vardas2995          Pavarde2995         10     10     5      10     8      8      
Vardas2996          Pavarde2996         3      1      7      5      4      4      
Vardas2997          Pavarde2997         2      8      7      10     4      8      
Vardas2998          Pavarde2998         8      4      7      9      9      2      
Vardas2999          Pavarde2999         7      2      4      8      2      4      
Vardas3000          Pavarde3000         5      10     3      2      2      4      
Vardas3001          Pavarde3001         3      2      6      4      5      6      
Vardas3002          Pavarde3002         10     7      8      2      4      2      
Vardas3003          Pavarde3003         2      7      2      2      8      3      
Vardas3004          Pavarde3004         3      7      3      7      2      9      
Vardas3005          Pavarde3005         2      4      2      8      10     10     
Vardas3006          Pavarde3006         10     3      10     10     6      3      
Vardas3007          Pavarde3007         6      5      1      3      4      3      
Vardas3008          Pavarde3008         7      2      7      4      3      7      
Vardas3009          Pavarde3009         5      8      3      8      6      2      
Vardas3010          Pavarde3010         1      5      6      8      3      2      
Vardas3011          Pavarde3011         3      8      2      6      7      7      
Vardas3012          Pavarde3012         3      4      5      4      10     5      
Vardas3013          Pavarde3013         2      9      8      9      9      6      
Vardas3014          Pavarde3014         1      5      10     6      1      7      
Vardas3015          Pavarde3015         4      10     7      1      3      7      
Vardas3016          Pavarde3016         8      2      3      9      10     6      
Vardas3017          Pavarde3017         3      7      3      7      3      1      
Vardas3018          Pavarde3018         2      3      8      2      4      1      
Vardas3019          Pavarde3019         6      7      5      5      10     2      
Vardas3020          Pavarde3020         8      2      8      10     3      3      
Vardas3021          Pavarde3021         8      9      9      10     7      2      
Vardas3022          Pavarde3022         2      4      9      1      5      8      
Vardas3023          Pavarde3023         5      10     1      1      3      4      
Vardas3024          Pavarde3024         2      3      9      10     9      4      
Vardas3025          Pavarde3025         7      6      1      6      8      9      
Vardas3026          Pavarde3026         1      3      6      1      4      1      
Vardas3027          Pavarde3027         6      10     5      10     2      4      
Vardas3028          Pavarde3028         1      6      3      2      10     7      
Vardas3029          Pavarde3029         8      2      7      4      7      10     
Vardas3030          Pavarde3030         2      1      7      2      2      7      
Vardas3031          Pavarde3031         1      4      8      10     8      1      
Vardas3032          Pavarde3032         6      5      1      2      3      9      
Vardas3033          Pavarde3033         9      1      6      2      2      10     
Vardas3034          Pavarde3034         4      9      1      7      4      7      
Vardas3035          Pavarde3035         8      6      1      1      6      6      
Vardas3036          Pavarde3036         10     10     2      9      10     3      
Vardas3037          Pavarde3037         4      5      4      6      8      8      
Vardas3038          Pavarde3038         7      2      4      10     8      9      
Vardas3039          Pavarde3039         5      5      1      10     2      6      
Vardas3040          Pavarde3040         4      3      6      10     3      6      
Vardas3041          Pavarde3041         8      6      1      6      9      6      
Vardas3042          Pavarde3042         10     10     9      9      5      6      
Vardas3043          Pavarde3043         6      8      6      3      5      10     
Vardas3044          Pavarde3044         7      9      10     4      2      5      
Vardas3045          Pavarde3045         4      7      5      1      1      3      
Vardas3046          Pavarde3046         2      10     3      7      1      1      
Vardas3047          Pavarde3047         3      7      5      9      2      9      
Vardas3048          Pavarde3048         9      8      7      2      1      10     
Vardas3049          Pavarde3049         9      1      1      2      10     10     
Vardas3050          Pavarde3050         1      2      10     10     6      3      
Vardas3051          Pavarde3051         1      3      5      3      8      9      
Vardas3052          Pavarde3052         1      7      10     9      8      3      
Vardas3053          Pavarde3053         2      4      6      9      7      6      
Vardas3054          Pavarde3054         10     6      5      9      10     9      
Vardas3055          Pavarde3055         10     8      3      8      1      3      
Vardas3056          Pavarde3056         4      8      5      7      5      2      
Vardas3057          Pavarde3057         5      3      5      9      1      4      
Vardas3058          Pavarde3058         4      2      9      7      9      5      
Vardas3059          Pavarde3059         2      4      8      3      1      8      
Vardas3060          Pavarde3060         4      4      10     8      4      6      
Vardas3061          Pavarde3061         4      1      1      10     5      9      
Vardas3062          Pavarde3062         2      4      8      5      6      7      
Vardas3063          Pavarde3063         8      7      2      9      6      6      
Vardas3064          Pavarde3064         4      5      3      5      4      5      
Vardas3065          Pavarde3065         8      1      6      2      8      4      
Vardas3066          Pavarde3066         9      6      2      3      2      2      
Vardas3067          Pavarde3067         8      2      9      6      3      6      
Vardas3068          Pavarde3068         2      3      10     10     3      9      
Vardas3069          Pavarde3069         8      1      10     2      6      5      
Vardas3070          Pavarde3070         5      7      4      7      2      8      
Vardas3071          Pavarde3071         5      8      1      1      9      6      
Vardas3072          Pavarde3072         9      7      1      2      7      5      
Vardas3073          Pavarde3073         6      1      8      3      5      3      
Vardas3074          Pavarde3074         4      8      7      2      10     4      
Vardas3075          Pavarde3075         5      9      7      2      6      2      
Vardas3076          Pavarde3076         1      5      3      1      4      8      
Vardas3077          Pavarde3077         10     2      9      6      9      8      
Vardas3078          Pavarde3078         1      5      4      9      1      8      
Vardas3079          Pavarde3079         10     10     1      3      8      3      
Vardas3080          Pavarde3080         1      3      3      2      4      7      
Vardas3081          Pavarde3081         7      6      3      5      2      4      
Vardas3082          Pavarde3082         3      1      7      9      5      2      
Vardas3083          Pavarde3083         1      3      7      10     4      5      
Vardas3084          Pavarde3084         7      2      5      9      8      3      
Vardas3085          Pavarde3085         3      3      4      7      9      9      
Vardas3086          Pavarde3086         9      9      10     1      1      10     
Vardas3087          Pavarde3087         1      6      1      3      4      7      
Vardas3088          Pavarde3088         5      8      2      4      3      7      
Vardas3089          Pavarde3089         9      2      10     2      6      7      
Vardas3090          Pavarde3090         6      3      3      2      6      2      
Vardas3091          Pavarde3091         7      8      1      3      5      10     
Vardas3092          Pavarde3092         9      9      2      6      9      4      
Vardas3093          Pavarde3093         2      2      7      5      1      3      
Vardas3094          Pavarde3094         6      6      3      6      9      9      
Vardas3095          Pavarde3095         8      5      5      3      5      9      
Vardas3096          Pavarde3096         9      8      10     10     10     6      
Vardas3097          Pavarde3097         7      1      4      6      8      5      
Vardas3098          Pavarde3098         3      1      1      4      9      4      
Vardas3099          Pavarde3099         5      3      2      9      8      2      
Vardas3100          Pavarde3100         7      5      6      2      5      4      
Vardas3101          Pavarde3101         3      10     3      2      8      5      
Vardas3102          Pavarde3102         2      7      2      5      4      3      
Vardas3103          Pavarde3103         10     10     4      8      3      4      
Vardas3104          Pavarde3104         10     7      4      7      2      7      
Vardas3105          Pavarde3105         10     8      4      8      6      10     
Vardas3106          Pavarde3106         4      9      2      5      10     10     
Vardas3107          Pavarde3107         4      2      1      4      4      7      
Vardas3108          Pavarde3108         2      3      10     8      9      1      
Vardas3109          Pavarde3109         8      1      10     10     9      10     
Vardas3110          Pavarde3110         6      5      4      8      5      1      
Vardas3111          Pavarde3111         1      2      10     2      1      5      
Vardas3112          Pavarde3112         1      2      7      10     1      6      
Vardas3113          Pavarde3113         4      5      10     10     5      6      
Vardas3114          Pavarde3114         5      5      5      6      7      7      
Vardas3115          Pavarde3115         9      2      8      2      6      6      
Vardas3116          Pavarde3116         5      10     7      3      3      7      
Vardas3117          Pavarde3117         7      3      7      2      3      4      
Vardas3118          Pavarde3118         3      1      4      9      3      8      
Vardas3119          Pavarde3119         3      1      8      6      7      5      
Vardas3120          Pavarde3120         9      8      6      9      4      3      
Vardas3121          Pavarde3121         7      10     1      5      6      9      
Vardas3122          Pavarde3122         9      1      1      9      7      4      
Vardas3123          Pavarde3123         4      1      9      8      8      2      
Vardas3124          Pavarde3124         10     10     9      6      10     10     
Vardas3125          Pavarde3125         2      4      10     7      6      5      
Vardas3126          Pavarde3126         10     7      1      4      2      2      
Vardas3127          Pavarde3127         3      9      10     1      9      7      
Vardas3128          Pavarde3128         5      10     10     3      3      10     
Vardas3129          Pavarde3129         3      2      4      7      5      4      
Vardas3130          Pavarde3130         9      8      9      8      4      1      
Vardas3131          Pavarde3131         1      5      3      3      10     9      
Vardas3132          Pavarde3132         3      2      8      5      7      8      
Vardas3133          Pavarde3133         10     3      7      7      1      2      
Vardas3134          Pavarde3134         1      8      10     1      3      2      
Vardas3135          Pavarde3135         10     6      2      5      9      10     
Vardas3136          Pavarde3136         8      3      1      7      2      1      
Vardas3137          Pavarde3137         1      6      8      9      9      1      
Vardas3138          Pavarde3138         7      9      10     1      3      3      
Vardas3139          Pavarde3139         10     9      8      10     1      5      
Vardas3140          Pavarde3140         8      3      9      5      1      7      
Vardas3141          Pavarde3141         6      7      5      5      1      3      
Vardas3142          Pavarde3142         7      7      2      1      5      6      
Vardas3143          Pavarde3143         6      3      7      5      6      4      
Vardas3144          Pavarde3144         1      4      3      4      8      3      
Vardas3145          Pavarde3145         3      6      5      3      4      8      
Vardas3146          Pavarde3146         1      1      1      10     10     2      
Vardas3147          Pavarde3147         8      8      7      4      10     10     
Vardas3148          Pavarde3148         7      8      7      6      8      9      
Vardas3149          Pavarde3149         2      9      10     6      2      7      
Vardas3150          Pavarde3150         4      10     2      4      3      6      
Vardas3151          Pavarde3151         10     1      10     1      5      7      
Vardas3152          Pavarde3152         6      1      5      4      4      1      
Vardas3153          Pavarde3153         9      10     9      8      3      1      
Vardas3154          Pavarde3154         2      6      1      3      2      4      
Vardas3155          Pavarde3155         2      7      7      9      4      10     
Vardas3156          Pavarde3156         4      10     1      4      9      6      
Vardas3157          Pavarde3157         8      3      5      3      10     3      
Vardas3158          Pavarde3158         4      3      2      9      1      10     
Vardas3159          Pavarde3159         3      8      7      7      6      8      
Vardas3160          Pavarde3160         7      6      9      10     3      7      
Vardas3161          Pavarde3161         5      9      1      6      10     4      
Vardas3162          Pavarde3162         5      1      4      5      10     7      
Vardas3163          Pavarde3163         9      1      6      4      7      3      
Vardas3164          Pavarde3164         2      7      8      9      7      5      
Vardas3165          Pavarde3165         10     6      7      4      9      3      
Vardas3166          Pavarde3166         8      4      1      1      2      3      
Vardas3167          Pavarde3167         1      5      1      8      9      4      
Vardas3168          Pavarde3168         7      9      10     10     10     4      
Vardas3169          Pavarde3169         7      8      10     8      6      6      
Vardas3170          Pavarde3170         10     3      9      4      9      3      
Vardas3171          Pavarde3171         3      2      1      10     4      10     
Vardas3172          Pavarde3172         4      4      10     6      7      1      
Vardas3173          Pavarde3173         3      2      1      10     10     2      
Vardas3174          Pavarde3174         4      8      6      6      8      6      
Vardas3175          Pavarde3175         1      2      9      10     3      3      
Vardas3176          Pavarde3176         2      6      3      8      10     3      
Vardas3177          Pavarde3177         2      10     3      7      5      3      
Vardas3178          Pavarde3178         8      7      4      9      6      3      
Vardas3179          Pavarde3179         5      6      2      6      3      2      
Vardas3180          Pavarde3180         10     3      6      7      1      6      
Vardas3181          Pavarde3181         10     6      6      5      10     1      
Vardas3182          Pavarde3182         6      3      10     4      6      3      
Vardas3183          Pavarde3183         8      8      6      10     7      4      
Vardas3184          Pavarde3184         7      8      8      6      9      5      
Vardas3185          Pavarde3185         3      9      10     1      9      7      
Vardas3186          Pavarde3186         2      1      4      5      10     2      
Vardas3187          Pavarde3187         1      10     7      10     2      10     
Vardas3188          Pavarde3188         10     10     6      3      9      1      
Vardas3189          Pavarde3189         6      8      10     7      8      3      
Vardas3190          Pavarde3190         8      6      6      10     10     4      
Vardas3191          Pavarde3191         7      6      9      4      4      1      
Vardas3192          Pavarde3192         1      1      4      3      1      8      
Vardas3193          Pavarde3193         4      5      1      1      10     5      
Vardas3194          Pavarde3194         2      9      6      3      7      3      
Vardas3195          Pavarde3195         7      9      10     2      9      10     
Vardas3196          Pavarde3196         10     10     1      10     3      10     
Vardas3197          Pavarde3197         7      7      5      1      2      10     
Vardas3198          Pavarde3198         5      3      9      10     6      1      
Vardas3199          Pavarde3199         9      2      1      4      5      5      
Vardas3200          Pavarde3200         5      6      7      6      9      1      
Vardas3201          Pavarde3201         9      9      2      1      3      9      
Vardas3202          Pavarde3202         9      10     1      10     3      6      
Vardas3203          Pavarde3203         7      5      4      9      3      3      
Vardas3204          Pavarde3204         2      7      5      1      6      1      
Vardas3205          Pavarde3205         8      1      2      2      10     7      
Vardas3206          Pavarde3206         1      4      3      10     9      2      
Vardas3207          Pavarde3207         1      5      6      6      5      3      
Vardas3208          Pavarde3208         9      9      4      4      3      6      
Vardas3209          Pavarde3209         7      9      1      1      6      9      
Vardas3210          Pavarde3210         9      7      10     7      10     10     
Vardas3211          Pavarde3211         8      6      2      1      10     2      
Vardas3212          Pavarde3212         7      1      5      2      8      6      
Vardas3213          Pavarde3213         8      10     5      4      9      4      
Vardas3214          Pavarde3214         9      6      6      8      3      6      
Vardas3215          Pavarde3215         9      6      10     9      9      4      
Vardas3216          Pavarde3216         5      2      9      7      9      8      
Vardas3217          Pavarde3217         1      6      9      1      2      5      
Vardas3218          Pavarde3218         7      10     7      5      8      1      
Vardas3219          Pavarde3219         6      1      1      5      3      8      
Vardas3220          Pavarde3220         9      2      10     8      9      5      
Vardas3221          Pavarde3221         4      8      2      9      10     10     
Vardas3222          Pavarde3222         2      3      9      2      3      7      
Vardas3223          Pavarde3223         4      10     9      6      1      6      
Vardas3224          Pavarde3224         4      9      5      3      3      2      
Vardas3225          Pavarde3225         8      7      6      9      7      9      
Vardas3226          Pavarde3226         10     8      3      8      7      3      
Vardas3227          Pavarde3227         5      5      9      2      5      1      
Vardas3228          Pavarde3228         1      7      4      8      9      2      
Vardas3229          Pavarde3229         3      9      4      1      5      6      
Vardas3230          Pavarde3230         3      9      3      5      2      7      
Vardas3231          Pavarde3231         2      9      5      9      7      1      
Vardas3232          Pavarde3232         4      4      2      5      10     8      
Vardas3233          Pavarde3233         7      9      3      2      5      8      
Vardas3234          Pavarde3234         10     5      8      7      7      3      
Vardas3235          Pavarde3235         2      4      7      8      10     7      
Vardas3236          Pavarde3236         1      8      2      3      10     4      
Vardas3237          Pavarde3237         2      2      5      1      8      4      
Vardas3238          Pavarde3238         8      5      1      1      1      9      
Vardas3239          Pavarde3239         9      5      1      4      5      3      
Vardas3240          Pavarde3240         9      6      3      3      2      7      
Vardas3241          Pavarde3241         3      4      6      5      3      4      
Vardas3242          Pavarde3242         9      3      3      1      6      3      
Vardas3243          Pavarde3243         2      8      4      10     6      8      
Vardas3244          Pavarde3244         6      3      5      3      10     3      
Vardas3245          Pavarde3245         3      5      2      6      5      10     
Vardas3246          Pavarde3246         1      3      8      2      8      4      
Vardas3247          Pavarde3247         5      5      5      3      4      1      
Vardas3248          Pavarde3248         9      10     7      1      5      8      
Vardas3249          Pavarde3249         6      9      7      1      3      8      
Vardas3250          Pavarde3250         4      6      2      4      7      9      
Vardas3251          Pavarde3251         10     5      5      1      9      4      
Vardas3252          Pavarde3252         6      1      6      8      7      9      
Vardas3253          Pavarde3253         1      5      8      8      2      7      
Vardas3254          Pavarde3254         1      7      8      5      5      2      
Vardas3255          Pavarde3255         7      10     3      6      5      6      
Vardas3256          Pavarde3256         5      7      1      6      2      5      
Vardas3257          Pavarde3257         9      7      4      3      8      9      
Vardas3258          Pavarde3258         4      7      7      8      5      5      
Vardas3259          Pavarde3259         9      3      6      2      5      9      
Vardas3260          Pavarde3260         2      7      4      9      6      6      
Vardas3261          Pavarde3261         4      5      10     2      10     4      
Vardas3262          Pavarde3262         1      7      9      1      6      3      
Vardas3263          Pavarde3263         5      10     2      2      1      2      
Vardas3264          Pavarde3264         1      7      6      6      2      1      
Vardas3265          Pavarde3265         4      7      1      10     6      1      
Vardas3266          Pavarde3266         2      4      3      9      10     2      
Vardas3267          Pavarde3267         5      2      7      9      10     2      
Vardas3268          Pavarde3268         8      9      7      7      3      8      
Vardas3269          Pavarde3269         4      9      4      2      10     7      
Vardas3270          Pavarde3270         3      9      4      4      4      5      
Vardas3271          Pavarde3271         9      1      2      10     4      3      
Vardas3272          Pavarde3272         8      2      1      3      3      8      
Vardas3273          Pavarde3273         9      2      9      2      10     10     
Vardas3274          Pavarde3274         3      8      2      7      5      9      
Vardas3275          Pavarde3275         5      7      10     1      5      5      
Vardas3276          Pavarde3276         1      10     3      1      8      10     
Vardas3277          Pavarde3277         7      9      6      5      5      3      
Vardas3278          Pavarde3278         1      5      3      3      3      6      
Vardas3279          Pavarde3279         5      2      2      8      7      6      
Vardas3280          Pavarde3280         10     9      3      9      10     2      
Vardas3281          Pavarde3281         8      5      1      6      7      3      
Vardas3282          Pavarde3282         8      3      8      2      9      10     
Vardas3283          Pavarde3283         9      10     3      5      5      1      
Vardas3284          Pavarde3284         8      4      2      1      3      7      
Vardas3285          Pavarde3285         7      1      8      10     10     10     
Vardas3286          Pavarde3286         1      8      2      7      3      9      
Vardas3287          Pavarde3287         6      6      7      9      5      1      
Vardas3288          Pavarde3288         9      5      1      5      5      9      
Vardas3289          Pavarde3289         7      8      3      5      7      5      
Vardas3290          Pavarde3290         2      2      7      9      9      6      
Vardas3291          Pavarde3291         10     10     8      8      3      2      
Vardas3292          Pavarde3292         7      10     2      1      4      4      
Vardas3293          Pavarde3293         6      5      5      1      2      10     
Vardas3294          Pavarde3294         8      4      7      10     6      2      
Vardas3295          Pavarde3295         5      2      7      8      7      10     
Vardas3296          Pavarde3296         10     2      9      10     5      6      
Vardas3297          Pavarde3297         4      5      10     8      1      6      
Vardas3298          Pavarde3298         2      1      1      5      6      5      
Vardas3299          Pavarde3299         7      3      3      5      7      9      
Vardas3300          Pavarde3300         5      1      8      8      1      2      
Vardas3301          Pavarde3301         8      2      4      2      6      6      
Vardas3302          Pavarde3302         7      6      3      4      2      9      
Vardas3303          Pavarde3303         5      1      9      5      9      7      
Vardas3304          Pavarde3304         5      1      8      8      1      6      
Vardas3305          Pavarde3305         9      5      5      8      2      8      
Vardas3306          Pavarde3306         2      8      5      3      7      3      
Vardas3307          Pavarde3307         1      7      6      5      9      6      
Vardas3308          Pavarde3308         1      5      4      4      6      6      
Vardas3309          Pavarde3309         4      10     6      3      6      9      
Vardas3310          Pavarde3310         8      6      5      4      5      3      
Vardas3311          Pavarde3311         8      1      3      10     6      4      
Vardas3312          Pavarde3312         6      10     3      7      9      5      
Vardas3313          Pavarde3313         10     8      9      6      1      7      
Vardas3314          Pavarde3314         5      8      5      6      4      10     
Vardas3315          Pavarde3315         10     5      5      6      2      9      
Vardas3316          Pavarde3316         5      4      10     10     4      8      
Vardas3317          Pavarde3317         5      7      1      5      4      10     
Vardas3318          Pavarde3318         2      2      10     1      6      10     
Vardas3319          Pavarde3319         4      3      3      2      8      1      
Vardas3320          Pavarde3320         3      2      8      4      9      3      
Vardas3321          Pavarde3321         4      1      9      7      3      8      
Vardas3322          Pavarde3322         5      3      3      8      2      3      
Vardas3323          Pavarde3323         2      9      7      1      4      3      
Vardas3324          Pavarde3324         1      10     2      4      2      9      
Vardas3325          Pavarde3325         6      5      3      1      6      4      
Vardas3326          Pavarde3326         3      4      1      7      8      5      
Vardas3327          Pavarde3327         2      5      7      3      5      7      
Vardas3328          Pavarde3328         2      7      1      2      1      1      
Vardas3329          Pavarde3329         6      6      9      7      4      3      
Vardas3330          Pavarde3330         7      10     4      8      2      1      
Vardas3331          Pavarde3331         6      2      5      1      2      10     
Vardas3332          Pavarde3332         4      5      6      10     1      4      
Vardas3333          Pavarde3333         5      3      4      3      3      2      
Vardas3334          Pavarde3334         1      8      7      7      10     2      
Vardas3335          Pavarde3335         6      8      9      9      4      3      
Vardas3336          Pavarde3336         9      8      7      4      9      9      
Vardas3337          Pavarde3337         10     1      1      6      2      7      
Vardas3338          Pavarde3338         9      5      6      1      10     5      
Vardas3339          Pavarde3339         9      6      10     8      7      6      
Vardas3340          Pavarde3340         8      9      10     9      2      5      
Vardas3341          Pavarde3341         4      10     8      6      6      3      
Vardas3342          Pavarde3342         8      5      1      5      8      1      
Vardas3343          Pavarde3343         2      1      3      2      1      2      
Vardas3344          Pavarde3344         3      2      9      2      3      6      
Vardas3345          Pavarde3345         1      10     10     8      6      4      
Vardas3346          Pavarde3346         10     2      8      3      1      4      
Vardas3347          Pavarde3347         2      10     10     10     7      8      
Vardas3348          Pavarde3348         8      8      2      8      4      9      
Vardas3349          Pavarde3349         6      8      4      1      2      5      
Vardas3350          Pavarde3350         8      3      3      3      2      5      
Vardas3351          Pavarde3351         7      10     1      6      2      6      
Vardas3352          Pavarde3352         1      5      6      4      9      3      
Vardas3353          Pavarde3353         7      3      8      5      1      6      
Vardas3354          Pavarde3354         7      2      9      8      1      3      
Vardas3355          Pavarde3355         9      9      10     8      1      1      
Vardas3356          Pavarde3356         6      8      10     10     2      7      
Vardas3357          Pavarde3357         3      10     2      5      2      2      
Vardas3358          Pavarde3358         6      3      1      2      6      6      
Vardas3359          Pavarde3359         4      3      6      6      6      5      
Vardas3360          Pavarde3360         10     8      10     3      1      7      
Vardas3361          Pavarde3361         6      10     1      5      5      8      
Vardas3362          Pavarde3362         1      2      9      6      1      3      
Vardas3363          Pavarde3363         8      8      10     2      6      2      
Vardas3364          Pavarde3364         8      6      7      1      1      4      
Vardas3365          Pavarde3365         4      8      6      2      6      7      
Vardas3366          Pavarde3366         7      5      10     5      9      4      
Vardas3367          Pavarde3367         4      7      4      3      1      1      
Vardas3368          Pavarde3368         1      7      8      4      4      3      
Vardas3369          Pavarde3369         4      2      1      10     7      6      
Vardas3370          Pavarde3370         8      2      10     8      3      10     
Vardas3371          Pavarde3371         9      4      3      4      7      1      
Vardas3372          Pavarde3372         4      1      8      3      3      8      
Vardas3373          Pavarde3373         6      10     9      5      9      1      
Vardas3374          Pavarde3374         5      10     1      10     9      3      
Vardas3375          Pavarde3375         1      10     6      8      8      1      
Vardas3376          Pavarde3376         10     6      7      10     9      9      
Vardas3377          Pavarde3377         1      7      6      4      6      8      
Vardas3378          Pavarde3378         9      4      7      8      10     7      
Vardas3379          Pavarde3379         5      5      8      7      2      4      
Vardas3380          Pavarde3380         1      5      10     2      5      1      
Vardas3381          Pavarde3381         8      7      2      5      6      4      
Vardas3382          Pavarde3382         4      9      1      3      7      5      
Vardas3383          Pavarde3383         5      2      1      6      7      1      
Vardas3384          Pavarde3384         2      10     1      2      6      3      
Vardas3385          Pavarde3385         10     2      10     5      9      3      
Vardas3386          Pavarde3386         2      3      5      4      3      9      
Vardas3387          Pavarde3387         5      3      8      5      6      7      
Vardas3388          Pavarde3388         4      5      3      4      9      1      
Vardas3389          Pavarde3389         5      6      7      4      4      2      
Vardas3390          Pavarde3390         10     7      5      10     4      9      
Vardas3391          Pavarde3391         9      10     10     8      1      1      
Vardas3392          Pavarde3392         4      7      4      5      4      4      
Vardas3393          Pavarde3393         7      5      4      6      6      7      
Vardas3394          Pavarde3394         3      2      2      10     2      8      
Vardas3395          Pavarde3395         3      3      5      1      5      4      
Vardas3396          Pavarde3396         8      1      5      2      8      2      
Vardas3397          Pavarde3397         3      6      8      7      10     6      
Vardas3398          Pavarde3398         8      7      1      6      8      5      
Vardas3399          Pavarde3399         7      1      10     7      7      8      
Vardas3400          Pavarde3400         4      7      6      8      3      8      
Vardas3401          Pavarde3401         2      3      4      7      7      3      
Vardas3402          Pavarde3402         5      2      4      6      7      1      
Vardas3403          Pavarde3403         7      1      10     8      7      3      
Vardas3404          Pavarde3404         5      4      7      7      3      2      
Vardas3405          Pavarde3405         8      9      2      8      9      5      
Vardas3406          Pavarde3406         10     6      8      6      7      4      
Vardas3407          Pavarde3407         6      4      7      4      3      3      
Vardas3408          Pavarde3408         2      4      5      2      2      2      
Vardas3409          Pavarde3409         5      5      2      5      5      5      
Vardas3410          Pavarde3410         3      5      9      6      2      3      
Vardas3411          Pavarde3411         2      7      4      9      9      10     
Vardas3412          Pavarde3412         4      4      9      10     6      7      
Vardas3413          Pavarde3413         4      10     5      7      7      2      
Vardas3414          Pavarde3414         1      9      1      1      4      1      
Vardas3415          Pavarde3415         4      10     4      6      9      5      
Vardas3416          Pavarde3416         4      8      4      10     9      7      
Vardas3417          Pavarde3417         5      3      1      1      6      9      
Vardas3418          Pavarde3418         5      6      3      7      8      2      
Vardas3419          Pavarde3419         6      5      1      6      1      9      
Vardas3420          Pavarde3420         10     7      3      2      7      6      
Vardas3421          Pavarde3421         9      9      5      4      4      3      
Vardas3422          Pavarde3422         2      6      5      1      5      4      
